Waf: Entering directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
[2322/2711] Compiling scratch/backup_1.cc
[2657/2711] Linking build/scratch/backup_1
Waf: Leaving directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.882s)
1 3 0.0656001
1 0 0.0656001
9 7 0.0792821
9 8 0.0792821
9 10 0.0792821
9 11 0.0792821
13 0 0.0914463
13 12 0.0914463
11 9 0.138241
11 12 0.138241
3 1 0.171372
3 2 0.171372
3 4 0.171372
3 5 0.171372
4 3 0.181616
4 6 0.181616
12 10 0.208955
12 11 0.208955
12 13 0.208955
12 14 0.208955
5 3 0.214875
5 6 0.214875
0 1 0.282302
0 2 0.282302
0 13 0.282302
0 14 0.282302
8 6 0.377299
8 9 0.377299
10 9 0.424754
10 12 0.424754
14 0 0.435759
14 12 0.435759
6 4 0.443213
6 5 0.443213
6 7 0.443213
6 8 0.443213
2 3 0.473269
2 0 0.473269
7 6 0.494922
7 9 0.494922
1 3 2.08624
1 0 2.08624
12 10 2.13272
12 11 2.13272
12 13 2.13272
12 14 2.13272
10 9 2.14385
10 12 2.14385
8 6 2.16893
8 9 2.16893
3 1 2.21496
3 2 2.21496
3 4 2.21496
3 5 2.21496
13 0 2.21856
13 12 2.21856
14 0 2.23451
14 12 2.23451
11 9 2.24956
11 12 2.24956
2 3 2.27222
2 0 2.27222
9 7 2.31035
9 8 2.31035
9 10 2.31035
9 11 2.31035
4 3 2.31064
4 6 2.31064
5 3 2.39737
5 6 2.39737
7 6 2.42735
7 9 2.42735
6 4 2.48685
6 5 2.48685
6 7 2.48685
6 8 2.48685
0 1 2.48937
0 2 2.48937
0 13 2.48937
0 14 2.48937
1 3 2.97569
1 0 2.97569
7 6 2.97669
7 9 2.97669
1 3 3.97069
1 0 3.97069
7 6 3.97069
7 9 3.97069
5 3 4.03439
5 6 4.03439
13 0 4.06787
13 12 4.06787
6 4 4.09231
6 5 4.09231
6 7 4.09231
6 8 4.09231
2 3 4.16836
2 0 4.16836
8 6 4.18721
8 9 4.18721
3 1 4.20233
3 2 4.20233
3 4 4.20233
3 5 4.20233
11 9 4.33501
11 12 4.33501
0 1 4.34876
0 2 4.34876
0 13 4.34876
0 14 4.34876
4 3 4.35085
4 6 4.35085
10 9 4.36968
10 12 4.36968
12 10 4.42358
12 11 4.42358
12 13 4.42358
12 14 4.42358
9 7 4.43484
9 8 4.43484
9 10 4.43484
9 11 4.43484
1 3 4.44208
1 0 4.44208
7 6 4.49158
7 9 4.49158
14 0 4.4988
14 12 4.4988
1 3 4.97069
1 0 4.97069
7 6 4.97069
7 9 4.97069
1 3 5.97069
1 0 5.97069
7 6 5.97069
7 9 5.97069
8 6 6.03529
8 9 6.03529
4 3 6.05297
4 6 6.05297
12 10 6.05344
12 11 6.05344
12 13 6.05344
12 14 6.05344
2 3 6.05641
2 0 6.05641
3 1 6.06342
3 2 6.06342
3 4 6.06342
3 5 6.06342
9 7 6.09043
9 8 6.09043
9 10 6.09043
9 11 6.09043
7 6 6.11272
7 9 6.11272
0 1 6.12283
0 2 6.12283
0 13 6.12283
0 14 6.12283
14 0 6.12332
14 12 6.12332
1 3 6.18132
1 0 6.18132
11 9 6.19884
11 12 6.19884
10 9 6.24045
10 12 6.24045
13 0 6.27329
13 12 6.27329
6 4 6.2924
6 5 6.2924
6 7 6.2924
6 8 6.2924
5 3 6.35757
5 6 6.35757
14 0 8.03714
14 12 8.03714
2 3 8.07881
2 0 8.07881
6 4 8.13245
6 5 8.13245
6 7 8.13245
6 8 8.13245
12 10 8.14789
12 11 8.14789
12 13 8.14789
12 14 8.14789
8 6 8.14925
8 9 8.14925
5 3 8.15068
5 6 8.15068
10 9 8.19682
10 12 8.19682
1 3 8.29817
1 0 8.29817
11 9 8.33222
11 12 8.33222
0 1 8.35623
0 2 8.35623
0 13 8.35623
0 14 8.35623
13 0 8.35638
13 12 8.35638
7 6 8.4187
7 9 8.4187
9 7 8.42954
9 8 8.42954
9 10 8.42954
9 11 8.42954
3 1 8.45109
3 2 8.45109
3 4 8.45109
3 5 8.45109
4 3 8.46765
4 6 8.46765
5 3 10.0722
5 6 10.0722
12 10 10.1488
12 11 10.1488
12 13 10.1488
12 14 10.1488
8 6 10.1787
8 9 10.1787
13 0 10.3118
13 12 10.3118
7 6 10.3273
7 9 10.3273
11 9 10.3736
11 12 10.3736
1 3 10.3867
1 0 10.3867
9 7 10.3907
9 8 10.3907
9 10 10.3907
9 11 10.3907
6 4 10.3923
6 5 10.3923
6 7 10.3923
6 8 10.3923
2 3 10.4429
2 0 10.4429
14 0 10.4431
14 12 10.4431
3 1 10.4621
3 2 10.4621
3 4 10.4621
3 5 10.4621
10 9 10.469
10 12 10.469
4 3 10.4741
4 6 10.4741
0 1 10.4943
0 2 10.4943
0 13 10.4943
0 14 10.4943
14 0 10.5109
14 12 10.5109
12 10 10.6824
12 11 10.6824
12 13 10.6824
12 14 10.6824
8 6 10.6826
8 9 10.6826
5 3 10.688
5 6 10.688
6 4 10.7252
6 5 10.7252
6 7 10.7252
6 8 10.7252
11 9 10.7858
11 12 10.7858
2 3 10.8145
2 0 10.8145
4 3 10.8865
4 6 10.8865
8 6 10.887
8 9 10.887
0 1 10.9135
0 2 10.9135
0 13 10.9135
0 14 10.9135
14 0 11.0568
14 12 11.0568
9 7 11.1122
9 8 11.1122
9 10 11.1122
9 11 11.1122
11 9 11.1381
11 12 11.1381
12 10 11.201
12 11 11.201
12 13 11.201
12 14 11.201
14 0 11.4466
14 12 11.4466
0 1 11.4839
0 2 11.4839
0 13 11.4839
0 14 11.4839
11 9 11.494
11 12 11.494
8 6 11.603
8 9 11.603
2 3 11.6786
2 0 11.6786
3 1 11.7217
3 2 11.7217
3 4 11.7217
3 5 11.7217
9 7 11.8014
9 8 11.8014
9 10 11.8014
9 11 11.8014
1 3 11.9251
1 0 11.9251
7 6 11.9331
7 9 11.9331
3 1 11.9368
3 2 11.9368
3 4 11.9368
3 5 11.9368
3 1 11.9372
3 2 11.9372
3 4 11.9372
3 5 11.9372
3 1 11.9379
3 2 11.9379
3 4 11.9379
3 5 11.9379
3 1 11.9389
3 2 11.9389
3 4 11.9389
3 5 11.9389
3 1 11.9401
3 2 11.9401
3 4 11.9401
3 5 11.9401
3 1 11.9426
3 2 11.9426
3 4 11.9426
3 5 11.9426
3 1 11.945
3 2 11.945
3 4 11.945
3 5 11.945
9 7 11.9457
9 8 11.9457
9 10 11.9457
9 11 11.9457
9 7 11.9462
9 8 11.9462
9 10 11.9462
9 11 11.9462
9 7 11.9465
9 8 11.9465
9 10 11.9465
9 11 11.9465
9 7 11.9473
9 8 11.9473
9 10 11.9473
9 11 11.9473
9 7 11.9481
9 8 11.9481
9 10 11.9481
9 11 11.9481
1 3 11.9484
1 0 11.9484
1 3 11.9485
1 0 11.9485
1 3 11.9503
1 0 11.9503
1 3 11.9523
1 0 11.9523
9 7 11.9524
9 8 11.9524
9 10 11.9524
9 11 11.9524
1 3 11.9542
1 0 11.9542
